arm,tstart,steps,nfe,depth,n,cfg_tar,run,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem,clap_dir,clap_dir_sem
DDPM-inv,30,120,300,25,115,3.5,stableaudio_ddpm_nolora_hparam_nfe300_t30_s120_cfgtar3.5,2.8439441580184996,0.03764325209728016,0.2362632645155046,0.011611587106049521,0.17521644557380806,0.01741951138140954,0.06306197100278474,0.009876061673980033
DDPM-inv,50,100,300,50,115,3.5,stableaudio_ddpm_nolora_hparam_nfe300_t50_s100_cfgtar3.5,3.4833777389491813,0.058939326258108674,0.2879013283218702,0.010617097269125143,0.201707560592331,0.016443974064709373,0.16482237264837907,0.01190484809616674
DDPM-inv,64,86,300,74,115,3.5,stableaudio_ddpm_nolora_hparam_nfe300_t64_s86_cfgtar3.5,4.168555456486302,0.07418211780094171,0.3064764028317903,0.009103550095948095,0.22157341908744496,0.015107911202045089,0.19048165964853506,0.012282262907370937
DDPM-inv,75,75,300,100,115,3.5,stableaudio_ddpm_nolora_hparam_nfe300_t75_s75_cfgtar3.5,4.208448037220084,0.07365417380917655,0.31127335554825647,0.008894575128513969,0.22490054938294318,0.015027892687610286,0.20182535453982975,0.012937906114455666
DDPM-inv,30,120,300,25,115,7.0,stableaudio_ddpm_nolora_hparam_nfe300_t30_s120_cfgtar7.0,2.8842056867696235,0.03814152788122772,0.24333004900200314,0.011558474590115107,0.1796496402229304,0.017387231374404736,0.07643994484906608,0.00972308966878995
DDPM-inv,50,100,300,50,115,7.0,stableaudio_ddpm_nolora_hparam_nfe300_t50_s100_cfgtar7.0,4.093339477587437,0.06849583227527309,0.3225992210683129,0.00933184886499326,0.2316825184971094,0.015271123079424536,0.21979296274037788,0.012956116317011131
DDPM-inv,64,86,300,74,115,7.0,stableaudio_ddpm_nolora_hparam_nfe300_t64_s86_cfgtar7.0,4.702872602732285,0.07437853918848515,0.33111401462738504,0.00801815966555082,0.2469141602354205,0.015228465656115358,0.23584929220378398,0.013843212128281357
DDPM-inv,75,75,300,100,115,7.0,stableaudio_ddpm_nolora_hparam_nfe300_t75_s75_cfgtar7.0,4.699746968469757,0.07425353858482274,0.33137530948210886,0.00829145364775467,0.24430381305839705,0.015300484739968359,0.22952600516702817,0.013401826745062188
DDPM-inv,30,120,300,25,115,10.5,stableaudio_ddpm_nolora_hparam_nfe300_t30_s120_cfgtar10.5,2.9453572107052457,0.039310644793637814,0.2517784343680124,0.011489816286255618,0.18553733153309188,0.01742843507974933,0.09276205004071408,0.00980793812203027
DDPM-inv,50,100,300,50,115,10.5,stableaudio_ddpm_nolora_hparam_nfe300_t50_s100_cfgtar10.5,4.50291880313901,0.06852091025876003,0.33859513976975625,0.008720802351131726,0.2570751500275472,0.01477480522313331,0.24550443973554217,0.013917237277077107
DDPM-inv,64,86,300,74,115,10.5,stableaudio_ddpm_nolora_hparam_nfe300_t64_s86_cfgtar10.5,5.020940049351125,0.07343706227691547,0.34742288085186607,0.007748722773161537,0.27293209116501005,0.014857680093515352,0.24948684076738098,0.014352840415516342
DDPM-inv,75,75,300,100,115,10.5,stableaudio_ddpm_nolora_hparam_nfe300_t75_s75_cfgtar10.5,5.026382683532826,0.07368538709333439,0.34048496240911913,0.00813890881808858,0.26325331061025675,0.015172762342891978,0.24491378737856512,0.014272376298242868
DDPM-inv,30,120,300,25,115,14.0,stableaudio_ddpm_nolora_hparam_nfe300_t30_s120_cfgtar14.0,3.019990257387576,0.04060430779826095,0.25928396452501734,0.011461658224474583,0.1925772151666815,0.017521409845289587,0.10625959431914529,0.01014177859533386
DDPM-inv,50,100,300,50,115,14.0,stableaudio_ddpm_nolora_hparam_nfe300_t50_s100_cfgtar14.0,4.790092617601588,0.0671389597736581,0.3494044707683117,0.008945164933111115,0.27538098269344674,0.014474759533020852,0.25355728747242173,0.015015419830226183
DDPM-inv,64,86,300,74,115,14.0,stableaudio_ddpm_nolora_hparam_nfe300_t64_s86_cfgtar14.0,5.232470177774845,0.07154686326722265,0.3485801528410419,0.008095192520475285,0.28232193745915657,0.014480616548552146,0.2526397317647934,0.015057814917784868
DDPM-inv,75,75,300,100,115,14.0,stableaudio_ddpm_nolora_hparam_nfe300_t75_s75_cfgtar14.0,5.300521017641262,0.07072192959525045,0.34719108019186096,0.008587239873538752,0.2854558377445716,0.015250204933340134,0.2583735592136888,0.015208003599342289
ODEInv (no LoRA),99,396,300,25,115,3.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s396_cfgtar3.5,2.8733372835491013,0.03890798979775752,0.24252584924745926,0.011560274205695985,0.1737102157557788,0.017501235111118646,0.07001835764993145,0.010791503323908254
ODEInv (no LoRA),99,198,300,50,115,3.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s198_cfgtar3.5,4.469835588310075,0.060298670832326456,0.30717493640339893,0.009289983611828125,0.23065948417288779,0.015978717334421206,0.21259161457419395,0.013499672565497571
ODEInv (no LoRA),99,132,300,75,115,3.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s132_cfgtar3.5,5.330716830820277,0.06626509801449086,0.3169720650410306,0.008389887228792234,0.27270616147383725,0.013345986467027369,0.2529418348415714,0.013907200186950717
ODEInv (no LoRA),99,100,300,99,115,3.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s100_cfgtar3.5,5.431373457666758,0.0681932711684075,0.309505372148385,0.008155975268192835,0.2729444260587511,0.01279999002364777,0.25234058988483055,0.013750942811622287
ODEInv (no LoRA),99,396,300,25,115,7.0,stableaudio_odeinv_nolora_hparam_nfe300_t99_s396_cfgtar7.0,2.965914520837259,0.04054741551201564,0.2502185449406396,0.011471916921326765,0.17932621366546853,0.01744578584544594,0.08781695967621128,0.01075150891173299
ODEInv (no LoRA),99,198,300,50,115,7.0,stableaudio_odeinv_nolora_hparam_nfe300_t99_s198_cfgtar7.0,4.903328977114913,0.05650141766784987,0.3317909993603826,0.00829962017292159,0.27016342118503933,0.015086763842696025,0.243872548704562,0.014096807189779629
ODEInv (no LoRA),99,132,300,75,115,7.0,stableaudio_odeinv_nolora_hparam_nfe300_t99_s132_cfgtar7.0,5.657977691180464,0.06192850082008574,0.3332593229427879,0.007996090856069235,0.30484080107315725,0.012414840560742883,0.2684963082894683,0.014510688252487376
ODEInv (no LoRA),99,100,300,99,115,7.0,stableaudio_odeinv_nolora_hparam_nfe300_t99_s100_cfgtar7.0,5.7177240950819375,0.0629485838945862,0.3233910210325342,0.008353335067739344,0.3055074088923309,0.012264088734634578,0.26078963842566893,0.0146005508809491
ODEInv (no LoRA),99,396,300,25,115,10.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s396_cfgtar10.5,3.05916763274566,0.04192362436948543,0.25702963954229174,0.011312813866088858,0.18608562523580116,0.017396421122319414,0.10411763221187434,0.01097749706740754
ODEInv (no LoRA),99,198,300,50,115,10.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s198_cfgtar10.5,5.187456904701565,0.052935635004019474,0.34262988345549045,0.008420647010226552,0.2860971154321147,0.013788366865997463,0.2610696149099132,0.013492275334072244
ODEInv (no LoRA),99,132,300,75,115,10.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s132_cfgtar10.5,5.844745678348817,0.05886319826975978,0.3276705519620167,0.008431625389891124,0.30819124372109125,0.012531920929110868,0.2681595923298079,0.01421824290842328
ODEInv (no LoRA),99,100,300,99,115,10.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s100_cfgtar10.5,5.911088031754978,0.05960189710234779,0.3250064254050022,0.008739890937265562,0.3113639354543841,0.012651363949052655,0.26311970942491747,0.014449913755899331
ODEInv (no LoRA),99,396,300,25,115,14.0,stableaudio_odeinv_nolora_hparam_nfe300_t99_s396_cfgtar14.0,3.145291699395663,0.04268909621161837,0.26358024245128037,0.011187955856651588,0.1918346989960612,0.017229159161365696,0.11697059970187104,0.011058246535860808
ODEInv (no LoRA),99,198,300,50,115,14.0,stableaudio_odeinv_nolora_hparam_nfe300_t99_s198_cfgtar14.0,5.377646287109541,0.0503143671102038,0.3528757048738391,0.008230565066488296,0.3054764714901862,0.013324175546707284,0.27109641044036203,0.013427671294129164
ODEInv (no LoRA),99,132,300,75,115,14.0,stableaudio_odeinv_nolora_hparam_nfe300_t99_s132_cfgtar14.0,5.960603243302609,0.056054737083086406,0.33103127042155545,0.008332874962834195,0.31719868167748916,0.012805260454691719,0.2654766847743936,0.014119278944382354
ODEInv (no LoRA),99,100,300,99,115,14.0,stableaudio_odeinv_nolora_hparam_nfe300_t99_s100_cfgtar14.0,6.013819673372352,0.05551838846790135,0.3233279451395831,0.008973677183943502,0.3054991319856566,0.012813684837019857,0.25966462251608785,0.014593522952364463
ODEInv w/ LoRA bw,99,396,300,25,115,3.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s396_cfgtar3.5,2.849112116132958,0.038623290931927116,0.24141539506762677,0.011563609783855127,0.17290179027325434,0.01749724164937339,0.06987773405549964,0.010368876466942433
ODEInv w/ LoRA bw,99,198,300,50,115,3.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s198_cfgtar3.5,4.400053748462511,0.05838690811365436,0.3074141532638906,0.009465208176933946,0.2315774178021061,0.01599017701945681,0.21060031546360772,0.013663525444253078
ODEInv w/ LoRA bw,99,132,300,75,115,3.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s132_cfgtar3.5,5.250491369668988,0.06656823511347386,0.3205888339334532,0.00839222790930842,0.2687303017156766,0.013626288697699761,0.25151226909264274,0.01410671697377681
ODEInv w/ LoRA bw,99,100,300,99,115,3.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s100_cfgtar3.5,5.354470229425293,0.06832372131643145,0.31475956297655033,0.00804839818801765,0.2710442143932754,0.012971827890185432,0.2526373070219289,0.013935463393183132
ODEInv w/ LoRA bw,99,396,300,25,115,7.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s396_cfgtar7.0,2.9447681237476453,0.04015740579485532,0.24854804531036725,0.0115150939176574,0.17850606670279218,0.017465369812044235,0.08760046555215246,0.010486459589211673
ODEInv w/ LoRA bw,99,198,300,50,115,7.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s198_cfgtar7.0,4.84641482418862,0.05597304110965961,0.3354201573041686,0.008118614796608603,0.26940025058777434,0.015453827479662976,0.24529772594409144,0.013929067189052955
ODEInv w/ LoRA bw,99,132,300,75,115,7.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s132_cfgtar7.0,5.592169980968254,0.06201160089692178,0.33537106141245554,0.00809076265804493,0.30508176263259806,0.012541935358690583,0.2702229057641133,0.014598234081773083
ODEInv w/ LoRA bw,99,100,300,99,115,7.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s100_cfgtar7.0,5.662239208774291,0.06307009661708413,0.32728400923797624,0.008526792684442263,0.3059497786928778,0.012331679859808556,0.26379639015573525,0.014627036299944109
ODEInv w/ LoRA bw,99,396,300,25,115,10.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s396_cfgtar10.5,3.0416982287600423,0.04147823425917297,0.25472756530536145,0.011396119862901634,0.18528790434053086,0.017455645136514802,0.10285469287925439,0.01063251880873615
ODEInv w/ LoRA bw,99,198,300,50,115,10.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s198_cfgtar10.5,5.137799507811451,0.05375062951600384,0.34712047996161427,0.008194071461887,0.28910083335864806,0.014220287708845062,0.2636701050902838,0.013727855945091516
ODEInv w/ LoRA bw,99,132,300,75,115,10.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s132_cfgtar10.5,5.808843939684439,0.05923072008128335,0.333270050196544,0.008537964672851174,0.3104236817230349,0.012501385687704779,0.27037447047946245,0.014187689449541829
ODEInv w/ LoRA bw,99,100,300,99,115,10.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s100_cfgtar10.5,5.852433831726295,0.060607431191695794,0.32816805285739076,0.008755980428741207,0.309982371751381,0.012671947425755963,0.26437214987514457,0.014651656953587614
ODEInv w/ LoRA bw,99,396,300,25,115,14.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s396_cfgtar14.0,3.130237529657889,0.04234959029040934,0.2614582716707356,0.01125497658007427,0.19131442557655923,0.01721750790261455,0.11652271219164781,0.010958900767032922
ODEInv w/ LoRA bw,99,198,300,50,115,14.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s198_cfgtar14.0,5.32535841077998,0.051100621690182896,0.3544364322171263,0.007901777819201384,0.3078684668745036,0.01324132469658415,0.27044003230074176,0.013718530699976491
ODEInv w/ LoRA bw,99,132,300,75,115,14.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s132_cfgtar14.0,5.912610319317251,0.05614053961328327,0.33005363002689425,0.008306276861534078,0.3168692880026672,0.013280908638129257,0.26828037372425845,0.01413432655625484
ODEInv w/ LoRA bw,99,100,300,99,115,14.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s100_cfgtar14.0,5.976965675975965,0.05573339941733195,0.3312372601380491,0.008536296939684107,0.3108687533146661,0.01272498711062204,0.2652728445504023,0.014494334635304407
SDEdit,150,600,300,25,115,3.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s600_cfgtar3.5,4.348946862808172,0.042214793595091116,0.2445242820049811,0.010928013488021299,0.15880890253668084,0.016034807729297183,0.07964732946989973,0.011205280715677867
SDEdit,150,300,300,50,115,3.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s300_cfgtar3.5,6.174339684472568,0.04025709300686496,0.34257515101923025,0.009081288557050007,0.2599999474685477,0.013597152802796124,0.25269146269268317,0.014150303545551557
SDEdit,150,200,300,75,115,3.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s200_cfgtar3.5,6.48167851337488,0.04043264791021141,0.3290346764567969,0.00882969675908952,0.28126788393229896,0.013046146346712783,0.26706425260914407,0.01568594177300661
SDEdit,150,150,300,100,115,3.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s150_cfgtar3.5,6.504316495466924,0.042241733608833404,0.32927724246313606,0.00853846568066145,0.28122513573464897,0.012896203449495105,0.272075911530334,0.015336085874961908
SDEdit,150,600,300,25,115,7.0,stableaudio_sdedit_nolora_hparam_nfe300_t150_s600_cfgtar7.0,4.380984458405038,0.041796401286739435,0.2602548974285415,0.011084566542011115,0.1726838520353498,0.015988912067750733,0.1028699674927022,0.01223213904126015
SDEdit,150,300,300,50,115,7.0,stableaudio_sdedit_nolora_hparam_nfe300_t150_s300_cfgtar7.0,6.263257841234622,0.0399690208997721,0.36359320519896954,0.008104976027007727,0.31074866133782525,0.013205672309328296,0.27939270033460595,0.014200429474616947
SDEdit,150,200,300,75,115,7.0,stableaudio_sdedit_nolora_hparam_nfe300_t150_s200_cfgtar7.0,6.510405165492625,0.04090259404604593,0.3420076800483292,0.00835938084881806,0.3037056626185127,0.012669525930319867,0.272387309388622,0.015211862081295057
SDEdit,150,150,300,100,115,7.0,stableaudio_sdedit_nolora_hparam_nfe300_t150_s150_cfgtar7.0,6.52260546774104,0.04143563375166744,0.3366313604727064,0.00825209224976679,0.3081939464677935,0.013109335610435225,0.26722534362064754,0.01498301725053246
SDEdit,150,600,300,25,115,10.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s600_cfgtar10.5,4.426815671817116,0.04165563277581972,0.2724711981637106,0.011181983063410719,0.1861305587216402,0.015910328944330532,0.12424202004204625,0.013153689526982187
SDEdit,150,300,300,50,115,10.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s300_cfgtar10.5,6.326120439059491,0.039528383825957365,0.36693611706134627,0.007846601886705187,0.3215723490423482,0.01289124352062999,0.28271659119459597,0.014482403258585746
SDEdit,150,200,300,75,115,10.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s200_cfgtar10.5,6.533136817545131,0.04058895185136784,0.3490412881282036,0.0075924145244262485,0.3222465863633577,0.013255545426685183,0.2767305661964676,0.014249566384704144
SDEdit,150,150,300,100,115,10.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s150_cfgtar10.5,6.5411333136627645,0.04177755824633238,0.3387052550863312,0.008117558575428672,0.3076564923738656,0.013512121349462789,0.2690729566080415,0.015366472362065306
SDEdit,150,600,300,25,115,14.0,stableaudio_sdedit_nolora_hparam_nfe300_t150_s600_cfgtar14.0,4.473948512733847,0.04211453257855505,0.28244032285628373,0.011246246806941425,0.1965630340916307,0.015614733363824494,0.140219584196482,0.013741403382611846
SDEdit,150,300,300,50,115,14.0,stableaudio_sdedit_nolora_hparam_nfe300_t150_s300_cfgtar14.0,6.379714860985245,0.0396188463260997,0.36992254190740803,0.008048207191211494,0.32805915837702543,0.013109600754408555,0.28098159451847493,0.014311419147593145
SDEdit,150,200,300,75,115,14.0,stableaudio_sdedit_nolora_hparam_nfe300_t150_s200_cfgtar14.0,6.547247225581735,0.041498352066437164,0.3479899593923187,0.008606973839161147,0.32915957281770913,0.013197755641401724,0.2768338425003964,0.014238178650556477
SDEdit,150,150,300,100,115,14.0,stableaudio_sdedit_nolora_hparam_nfe300_t150_s150_cfgtar14.0,6.556539938968162,0.04140622168128471,0.3458280107754188,0.009041833769239647,0.3255562457134542,0.012614692383940283,0.27191738346996513,0.014705799799638535
